Country,Job Title,Gender,Quantity,Percentage
France,Data Architect,Male,13,0.228%
France,Data Base Design Analyst,Female,1,0.018%
France,Data Base Design Analyst,Male,9,0.158%
France,Data Capture Specialist,Male,1,0.018%
France,Data Coder Operator,Male,2,0.035%
France,Data Collection Technician,Female,3,0.053%
France,Data Collector,Female,1,0.018%
France,Data Communications Analyst,Male,9,0.158%
France,Data Communications Software Consultant,Female,1,0.018%
France,Data Communications Software Consultant,Male,8,0.14%
France,Data Communications Technician,Female,1,0.018%
France,Data Communications Technician,Male,3,0.053%
France,Data Control Assistant,Male,1,0.018%
France,Data Control Clerk Supervisor,Male,1,0.018%
France,Data Coordinator,Female,2,0.035%
France,Data Coordinator,Male,10,0.175%
France,Data Entry Clerk,Male,4,0.07%
France,Data Entry Machine Operator,Male,2,0.035%
France,Data Entry Representative,Male,4,0.07%
France,Data Entry Specialist,Male,2,0.035%
France,Data Entry Supervisor,Male,1,0.018%
France,Data Input Clerk,Male,1,0.018%
France,Data Management Associate,Female,1,0.018%
France,Data Management Associate,Male,13,0.228%
France,Data Management Information Technology Specialist,Male,4,0.07%
France,Data Management Manager,Male,1,0.018%
France,Data Manager,Male,1,0.018%
France,Data Miner,Female,2,0.035%
